job,company,salary,experience,education,address
python,成都快师傅科技有限公司,4k-7k,经验1-3年,学历不限,成都 
python,江苏东蓝软件技术有限公司,9k-18k,经验1-3年,大专及以上,南京 
python,北京数美时代科技有限公司,10k-20k,经验应届毕业生,本科及以上,北京 
python,西安华讯科技有限责任公司,6k-12k,经验1-3年,本科及以上,西安 
python,深圳云安宝科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
python,北京天谱在线网络科技有限公司,7k-11k,经验1-3年,大专及以上,上海 
Django,上海海万信息科技股份有限公司,10k-20k,经验3-5年,本科及以上,深圳 
高级Python开发工程师,建信金融科技有限责任公司,20k-40k,经验3-5年,本科及以上,北京 
python后端工程师,浙江天垂科技有限公司,15k-30k,经验不限,本科及以上,杭州 
"资深运维开发Python,Django",国美控股集团有限公司,30k-45k,经验5-10年,本科及以上,北京 
Python,武汉乐谷在线科技有限公司,5k-10k,经验1-3年,大专及以上,武汉 
Python后端,深圳链条科技有限公司,7k-12k,经验1-3年,学历不限,深圳 
python,圆通速递有限公司,15k-25k,经验3-5年,本科及以上,上海 
Python开发工程师,北京下厨房科技有限公司,10k-20k,经验不限,本科及以上,北京 
python工程师,生仝智能科技（北京）有限公司,14k-28k,经验不限,硕士及以上,北京 
python开发,北京缔联科技有限公司,15k-30k,经验3-5年,本科及以上,北京 
Python,心灵失重（北京）科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
Python后台开发工程师,深圳小步网络科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
Python开发实习生,北京下厨房科技有限公司,6k-7k,经验应届毕业生,本科及以上,北京 
资深python全栈开发,深圳市天宇鸿通网络科技有限公司,30k-60k,经验不限,大专及以上,深圳 
高级Python经理,北京黑尾互动科技有限公司,28k-40k,经验5-10年,本科及以上,北京 
python,上海卿钊互联网科技有限公司,1k-2k,经验3-5年,学历不限,上海 
python,微众营创科技（北京）有限公司,2k-3k,经验应届毕业生,本科及以上,北京 
python开发工程师,深圳迪巨智能科技有限公司,15k-30k,经验1-3年,本科及以上,深圳 
Python 工程师,爱客科技（深圳）有限公司,12k-23k,经验1-3年,本科及以上,深圳 
Python（极验验证）,武汉极意网络科技有限公司,9k-18k,经验3-5年,学历不限,武汉 
Python服务端开发,深圳优依购互娱科技有限公司,8k-13k,经验1-3年,本科及以上,广州 
python,广州市动景计算机科技有限公司,25k-50k,经验3-5年,本科及以上,北京 
Python负责人,北京黑尾互动科技有限公司,28k-40k,经验5-10年,本科及以上,北京 
后台开发（C++/go/PHP/python）,四川伊澳农业科技有限公司,30k-50k,经验3-5年,本科及以上,北京 
Python,深圳市三三得玖通信技术有限公司,10k-15k,经验1-3年,本科及以上,深圳 
后端工程师（Python/Golang）,上海赛舵智能科技有限公司,20k-40k,经验3-5年,本科及以上,上海 
高级 Python 工程师,爱客科技（深圳）有限公司,25k-35k,经验3-5年,本科及以上,深圳 
高级Python工程师,北京黑尾互动科技有限公司,25k-40k,经验5-10年,本科及以上,北京 
python开发工程师（后端）,广州汉兴云科技有限公司,3k-5k,经验应届毕业生,学历不限,广州 
python开发,成都吉客优家科技有限公司,5k-7k,经验1-3年,本科及以上,成都 
高级后端开发工程师-Java/c,思特沃克软件技术（成都）有限公司,15k-30k,经验5-10年,本科及以上,武汉 
python,上海解兮生物科技有限公司,15k-20k,经验1-3年,本科及以上,上海 
Python,北京凌云雀科技有限公司,13k-25k,经验不限,本科及以上,北京 
高级Python开发工程师,万科物业发展股份有限公司,15k-30k,经验3-5年,本科及以上,深圳 
高级Python开发工程师--抖,北京字节跳动科技有限公司,25k-50k,经验3-5年,本科及以上,上海 
Python 开发工程师,北京优阅互动信息技术有限公司,15k-30k,经验1-3年,本科及以上,北京 
python开发工程师,魔珐（上海）信息科技有限公司,15k-25k,经验3-5年,本科及以上,上海 
python,北京千方科技股份有限公司,10k-20k,经验3-5年,本科及以上,北京 
python,北京缔联科技有限公司,12k-20k,经验3-5年,本科及以上,北京 
Python Web开发工程师,北京缔联科技有限公司,15k-30k,经验3-5年,大专及以上,北京 
python,天津英才酷信息科技有限公司,15k-25k,经验3-5年,大专及以上,北京 
python,掌阅科技股份有限公司,25k-45k,经验5-10年,本科及以上,北京 
Python后台开发工程师,岩心科技（深圳）有限公司,15k-30k,经验3-5年,本科及以上,深圳 
Python后端高级开发工程师-,北京字节跳动科技有限公司,20k-40k,经验1-3年,本科及以上,北京 
python,市北区博洋灵邦企业营销策划工作室,8k-15k,经验3-5年,本科及以上,济南 
Python开发实习生-北京,北京广通信达软件股份有限公司杭州分公司,3k-6k,经验应届毕业生,本科及以上,北京 
Django/Python/后端开发,耘智信息科技（上海）有限公司,20k-35k,经验3-5年,本科及以上,上海 
Python Django 后端开发工程师,赛厨网络科技（上海）有限公司,15k-25k,经验3-5年,本科及以上,上海 
python开发,上海走走信息科技有限公司,20k-40k,经验3-5年,本科及以上,上海 
python开发工程师G00288,上海谷露软件有限公司,20k-40k,经验不限,本科及以上,上海 
Python,北京梦宝智能科技有限公司,6k-12k,经验应届毕业生,学历不限,北京 
python,上海华钦信息科技股份有限公司,10k-20k,经验3-5年,本科及以上,上海 
Devops研发 python方向(J10,北京仁科互动网络技术有限公司,15k-30k,经验1-3年,本科及以上,北京 
python,成都云尚物联环境科技有限公司,9k-16k,经验3-5年,本科及以上,成都 
python,中科育软（苏州）智能科技有限公司,10k-20k,经验3-5年,本科及以上,苏州 
python爬虫,北京数美时代科技有限公司,10k-20k,经验应届毕业生,本科及以上,北京 
python,青岛古象传媒网络技术有限公司,10k-15k,经验应届毕业生,大专及以上,青岛 
Python,北京智海创讯信息技术有限公司,12k-24k,经验1-3年,本科及以上,北京 
python,广州泰盛网络科技有限公司,10k-15k,经验1-3年,大专及以上,广州 
python开发,上海小赤信息科技有限公司,8k-15k,经验1-3年,本科及以上,上海 
python,深圳市龙岗区名媛世家健康信息咨询部,10k-20k,经验3-5年,本科及以上,深圳 
python开发,上海心莲信息科技有限公司,12k-20k,经验1-3年,本科及以上,上海 
python爬虫,上海纳纳科技有限公司,10k-20k,经验1-3年,本科及以上,上海 
Python工程师（熟悉django）,鹏博士大数据有限公司,15k-25k,经验5-10年,本科及以上,北京 
python,北京完美创意科技有限公司,20k-35k,经验3-5年,本科及以上,北京 
python,成都博创时空科技有限公司,8k-10k,经验1-3年,本科及以上,成都 
少儿编程讲师（python）,达内时代科技集团有限公司,10k-15k,经验不限,本科及以上,北京 
python,宜昌市天地雷电防护有限公司宜都分公司,25k-50k,经验1-3年,本科及以上,杭州 
python实习,上海华钦信息科技股份有限公司,2k-3k,经验应届毕业生,本科及以上,上海 
中级python,北京国研网信息股份有限公司,8k-15k,经验3-5年,学历不限,成都 
python高级讲师,成都蜗牛创想科技有限公司,10k-18k,经验3-5年,本科及以上,成都 
Python后端开发,上海心莲信息科技有限公司,17k-30k,经验3-5年,本科及以上,上海 
Python开发工程师,杭州涂鸦信息技术有限公司,20k-30k,经验3-5年,本科及以上,杭州 
Python实习,深圳市有鱼智能科技有限公司,4k-7k,经验应届毕业生,硕士及以上,北京 
python,华博信息技术（大连）有限公司,7k-11k,经验1-3年,大专及以上,大连 
Python讲师（AI方向）,北京开课吧科技有限公司,20k-40k,经验3-5年,硕士及以上,北京 
Python工程师,北京步峰信息技术有限公司,10k-20k,经验3-5年,大专及以上,北京 
Python 全栈工程师,广州锐社科技有限公司,8k-15k,经验3-5年,大专及以上,广州 
python,苏州世纪福智能装备股份有限公司,10k-20k,经验3-5年,本科及以上,苏州 
少儿编程讲师-python、scrat,达内时代科技集团有限公司,7k-10k,经验不限,本科及以上,北京 
少儿编程老师-C++.PYTHON.JAVA,达内时代科技集团有限公司,10k-15k,经验1-3年,本科及以上,北京 
Python开发工程师-财务报表,北京字节跳动科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
Python后台,武汉小果科技有限公司,9k-15k,经验1-3年,本科及以上,武汉 
python开发（运维开发）,上海沐瞳科技有限公司,22k-35k,经验3-5年,大专及以上,上海 
112145-资深容器python开发,平安科技（深圳）有限公司,15k-30k,经验5-10年,本科及以上,深圳 
Python课程运营,风变科技（深圳）有限公司,6k-12k,经验不限,大专及以上,深圳 
python,苏州世纪福智能装备股份有限公司,10k-20k,经验3-5年,本科及以上,苏州 
Python工程师,深圳视界信息技术有限公司,12k-24k,经验3-5年,本科及以上,深圳 
python开发工程师,北京步峰信息技术有限公司,17k-25k,经验3-5年,本科及以上,北京 
Python 全栈工程师,广州锐社科技有限公司,8k-15k,经验3-5年,大专及以上,广州 
python开发,南京葡萄诚信息科技有限公司,15k-30k,经验3-5年,本科及以上,上海 
python开发,广州嘉煌文化传播有限公司,8k-15k,经验1-3年,大专及以上,广州 
python工程师,深圳佑驾创新科技有限公司,15k-30k,经验1-3年,本科及以上,深圳 
Python 服务端研发工程师,上海晨芽教育科技有限公司,15k-25k,经验3-5年,本科及以上,上海 
后端开发工程师 (Django）,力扣信息科技（上海）有限公司,14k-20k,经验1-3年,本科及以上,上海 
python开发,北京益投后信息咨询有限公司,40k-60k,经验3-5年,本科及以上,北京 
Python开发,上海汉得信息技术股份有限公司,12k-18k,经验3-5年,本科及以上,深圳 
Python开发工程师,北京艨艟信息技术有限公司,15k-30k,经验1-3年,本科及以上,北京 
Python高级服务端开发工程师,上海晨芽教育科技有限公司,15k-25k,经验5-10年,本科及以上,上海 
python开发工程师,卓尔智联集团有限公司,6k-12k,经验1-3年,本科及以上,武汉 
python,深圳市墨探科技有限公司,10k-15k,经验1-3年,本科及以上,深圳 
python开发（体育）,广州逐鹿网络信息开发有限公司,20k-30k,经验3-5年,本科及以上,广州 
高级测试（美java/python/co,国美控股集团有限公司,15k-30k,经验3-5年,本科及以上,北京 
Python工程师,上海薄荷信息科技有限公司,12k-24k,经验1-3年,本科及以上,上海 
Python高级开发工程师,杭州沃趣科技股份有限公司,16k-20k,经验3-5年,本科及以上,杭州 
Python数据工程师,深圳市升幂科技有限公司,10k-15k,经验1年以下,本科及以上,深圳 
Python后端工程师,深圳市升幂科技有限公司,12k-16k,经验1-3年,本科及以上,深圳 
Python开发工程师,深圳爱问科技股份有限公司,18k-35k,经验5-10年,本科及以上,深圳 
1121QD-容器python开发,平安科技（深圳）有限公司,10k-20k,经验1-3年,本科及以上,深圳 
Python开发实习生,上海游民网络科技有限公司广州分公司,3k-6k,经验不限,本科及以上,广州 
python工程师（偏NLP方向）,杭州涂鸦信息技术有限公司,15k-30k,经验3-5年,本科及以上,杭州 
高级 Python 工程师,精硕科技(北京)股份有限公司,15k-20k,经验3-5年,本科及以上,武汉 
Python 全栈工程师,广州锐社科技有限公司,8k-15k,经验3-5年,大专及以上,广州 
Python爬虫工程师,风变科技（深圳）有限公司,9k-16k,经验1-3年,本科及以上,深圳 
Python后端工程师,北京逍遥志科技有限公司,18k-30k,经验3-5年,本科及以上,北京 
python开发工程师,叽里呱啦文化传播（上海）有限公司,15k-30k,经验1-3年,本科及以上,上海 
python web 开发,杭州健培科技有限公司,8k-15k,经验不限,本科及以上,杭州 
python开发工程师,腾讯科技（深圳）有限公司,20k-40k,经验不限,学历不限,深圳 
python开发经理,学识堂科技（上海）有限公司,25k-37k,经验5-10年,本科及以上,上海 
数据分析师(python),北京慧达天下科技有限公司,12k-15k,经验1-3年,本科及以上,北京 
python golang 后端开发,北京思维造物信息科技有限公司,20k-40k,经验1-3年,本科及以上,北京 
Android研发(往python后端,武汉小果科技有限公司,8k-14k,经验不限,本科及以上,武汉 
Python开发工程师,武汉小果科技有限公司,9k-15k,经验1-3年,本科及以上,武汉 
Python工程师,深圳市客路网络科技有限公司,10k-20k,经验1-3年,本科及以上,深圳 
1111UJ-云平台运维开发（pyt,平安科技（深圳）有限公司,15k-25k,经验3-5年,本科及以上,深圳 
高级python开发工程师,北京无极慧通科技有限公司,10k-15k,经验1-3年,本科及以上,北京 
Python后端高级开发工程师,上海纳纳科技有限公司,15k-25k,经验3-5年,本科及以上,上海 
Python 后端开发（北京）,上海倾听信息技术有限公司,18k-36k,经验1-3年,本科及以上,北京 
Python爬虫工程师(Selenium,上海别样秀数据科技有限公司,10k-20k,经验不限,本科及以上,上海 
python后端,江西点内人工智能科技有限公司,10k-15k,经验1-3年,本科及以上,上海 
Python售后工程师,深圳智易科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
后端工程师（Python 人脸识别）,上海迈外迪网络科技有限公司,10k-20k,经验1-3年,本科及以上,北京 
算法工程师（Python）,北京深睿博联科技有限责任公司,15k-30k,经验3-5年,本科及以上,北京 
Python研发工程师,北京逍遥志科技有限公司,15k-25k,经验3-5年,本科及以上,北京 
Python课程开发研究员,慧科教育科技集团有限公司,18k-35k,经验5-10年,本科及以上,北京 
高级Java/Python开发工程师,厦门视我科技有限公司,15k-30k,经验5-10年,本科及以上,厦门 
高级Python后端研发工程师,上海斗象信息科技有限公司,10k-15k,经验1-3年,本科及以上,上海 
猫老祖（图形化&Python）,深圳点猫科技有限公司,8k-15k,经验不限,本科及以上,广州 
高级python开发工程师,北京国研网信息股份有限公司,22k-27k,经验3-5年,硕士及以上,北京 
高级Python工程师,深圳市客路网络科技有限公司,20k-35k,经验3-5年,本科及以上,深圳 
python工程师,杭州健培科技有限公司,8k-15k,经验不限,本科及以上,杭州 
Python教研实习生（会正则表,北京聪明核桃教育科技有限公司,4k-5k,经验1年以下,本科及以上,北京 
DSQ-Python后端开发工程师,顺丰科技有限公司,18k-35k,经验3-5年,本科及以上,深圳 
Python高级开发工程师（财务,北京思维造物信息科技有限公司,25k-50k,经验3-5年,本科及以上,北京 
DSQ-Python后端开发工程师,顺丰科技有限公司,18k-35k,经验3-5年,本科及以上,深圳 
Python高级开发工程师（财务,北京思维造物信息科技有限公司,25k-50k,经验3-5年,本科及以上,北京 
高级Python研发工程师,北京逍遥志科技有限公司,25k-50k,经验5-10年,本科及以上,北京 
Python爬虫实习生,特赞（上海）信息科技有限公司,2k-3k,经验不限,本科及以上,上海 
高级Python开发工程师,北京大生在线科技有限公司,20k-35k,经验5-10年,学历不限,深圳 
编程猫少儿编程教师（Python,深圳点猫科技有限公司,8k-12k,经验不限,本科及以上,广州 
Python开发工程师,行云智能（深圳）技术有限公司,10k-20k,经验1-3年,本科及以上,深圳 
Python开发工程师--2884,北京奇艺世纪科技有限公司,18k-30k,经验3-5年,本科及以上,北京 
python开发,智线云科技（北京）有限公司,8k-13k,经验1-3年,本科及以上,武汉 
python开发工程师（后端开发）,北京聚道科技有限公司,15k-30k,经验1-3年,本科及以上,北京 
高级Python后端开发工程师,北京聚道科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
高级Python开发工程师,上海寻梦信息技术有限公司,20k-40k,经验1-3年,本科及以上,上海 
python后端,上海云轴信息科技有限公司,15k-25k,经验1-3年,本科及以上,上海 
高级python,杭州慧川智能科技有限公司,20k-40k,经验5-10年,大专及以上,杭州 
python后端,北京热云科技有限公司,20k-35k,经验3-5年,本科及以上,北京 
python开发,达内时代科技集团有限公司,8k-13k,经验不限,本科及以上,北京 
python后端开发工程师,深圳市阿卡索资讯股份有限公司,15k-30k,经验3-5年,本科及以上,深圳 
python开发,倍蓰（北京）技术有限公司,15k-25k,经验3-5年,本科及以上,深圳 
高级python后端开发工程师,上海联元智能科技有限公司,15k-30k,经验5-10年,本科及以上,上海 
python开发工程师,杭州布奇托网络科技有限公司,13k-25k,经验3-5年,本科及以上,杭州 
技术总监（Python）,北京云杉智达科技有限公司,17k-27k,经验3-5年,本科及以上,北京 
Python后台工程师(科技园),翼果（深圳）科技有限公司,10k-20k,经验1-3年,本科及以上,深圳 
python后端,嘉兴构美信息技术有限公司,12k-20k,经验3-5年,本科及以上,杭州 
Python开发工程师,广州美亚电子商务国际旅行社有限公司,6k-12k,经验1-3年,大专及以上,广州 
python开发工程师,北京向上一心科技有限公司,20k-40k,经验不限,本科及以上,北京 
高级Python开发工程师,北京广通信达软件股份有限公司杭州分公司,10k-20k,经验3-5年,大专及以上,杭州 
Python初级开发工程师,深圳市和沃翼起科技有限公司,4k-8k,经验不限,本科及以上,苏州 
Python研发工程师（数据平台）,杭州大搜车汽车服务有限公司,9k-15k,经验1-3年,本科及以上,杭州 
python开发,深圳市瑞云科技有限公司,10k-18k,经验3-5年,本科及以上,深圳 
高级后端开发工程师（Python,北京聚道科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
Python后端开发-工程效能方向,高德软件有限公司,20k-40k,经验3-5年,本科及以上,北京 
python后端(中级）,上海西井信息科技有限公司,9k-14k,经验3-5年,本科及以上,上海 
python工程师,上海大岂网络科技有限公司,12k-20k,经验3-5年,本科及以上,上海 
Python讲师,北京奥鹏远程教育中心有限公司,10k-20k,经验1-3年,大专及以上,北京 
AI后端Python开发工程师（技,上海一起作业信息科技有限公司,25k-50k,经验1-3年,本科及以上,北京 
python开发,北京汉迪移动互联网科技股份有限公司,15k-30k,经验1-3年,本科及以上,北京 
Python开发工程师,上海道客网络科技有限公司,18k-25k,经验3-5年,本科及以上,上海 
python开发,杭州博彦信息技术有限公司,11k-18k,经验3-5年,本科及以上,杭州 
资深数据中台研发工程师(Py,杭州大搜车汽车服务有限公司,15k-25k,经验3-5年,本科及以上,杭州 
python开发,广州聚焦网络技术有限公司,12k-20k,经验3-5年,本科及以上,广州 
python工程师,上海微创软件股份有限公司,14k-18k,经验1-3年,本科及以上,上海 
python开发,时趣互动（北京）科技有限公司,10k-20k,经验1-3年,学历不限,北京 
python开发,上海海万信息科技股份有限公司,10k-20k,经验3-5年,本科及以上,深圳 
Python工程师-自动化分析方,北京奇艺世纪科技有限公司,15k-20k,经验3-5年,本科及以上,北京 
Python敏捷开发leader,深圳市明源云客电子商务有限公司,20k-35k,经验5-10年,本科及以上,深圳 
Python高级开发工程师,深圳市明源云客电子商务有限公司,15k-30k,经验3-5年,本科及以上,深圳 
python高级工程师/专家,北京益投后信息咨询有限公司,30k-60k,经验3-5年,本科及以上,北京 
高级python开发,互道信息技术（上海）有限公司,20k-40k,经验3-5年,大专及以上,上海 
python教师,深圳乐博乐博教育科技有限公司益田分公司,4k-8k,经验1年以下,大专及以上,深圳 
Python后端开发专家-车联网,高德软件有限公司,20k-40k,经验3-5年,本科及以上,北京 
python组长,深圳市比一比网络科技有限公司,15k-25k,经验5-10年,大专及以上,深圳 
Python开发（应届）,威讯柏睿数据科技（北京）有限公司,6k-12k,经验不限,本科及以上,武汉 
高级python后端,威讯柏睿数据科技（北京）有限公司,12k-24k,经验5-10年,本科及以上,武汉 
python开发,深圳市小赢科技有限责任公司,15k-25k,经验3-5年,本科及以上,北京 
Python开发工程师,武汉哈乐沃德网络科技有限公司,6k-10k,经验1-3年,本科及以上,武汉 
Python答疑老师,南京贝湾信息科技有限公司,4k-6k,经验应届毕业生,学历不限,南京 
Python爬虫工程师,上海大岂网络科技有限公司,12k-20k,经验3-5年,本科及以上,上海 
高级Python开发工程师,厦门美图之家科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
Python开发工程师,智言科技(深圳)有限公司,10k-20k,经验3-5年,本科及以上,深圳 
高级Python开发,上海亦存网络科技有限公司,20k-40k,经验3-5年,本科及以上,上海 
Python Golang后端工程师,Gekko Artificial Intelligence Limited,16k-32k,经验3-5年,本科及以上,深圳 
python工程师,一点网聚科技有限公司,15k-30k,经验应届毕业生,本科及以上,北京 
Python开发工程师,微入（上海）商贸有限公司,10k-15k,经验1-3年,本科及以上,成都 
后端开发工程师Golang/Python,上海天壤智能科技有限公司,20k-40k,经验3-5年,本科及以上,上海 
python架构师,上海众言网络科技有限公司,30k-45k,经验5-10年,本科及以上,上海 
软件测试工程师（C++、java、p,北京捷通华声科技股份有限公司,15k-25k,经验1-3年,本科及以上,北京 
Python后端工程师,北京佳格天地科技有限公司,18k-23k,经验3-5年,本科及以上,北京 
python开发,深圳珍善科技有限公司,10k-20k,经验3-5年,本科及以上,深圳 
11217M-资深python开发（平,平安科技（深圳）有限公司,18k-30k,经验5-10年,本科及以上,深圳 
Python工程师（运维方向）,风变科技（深圳）有限公司,10k-20k,经验1-3年,本科及以上,深圳 
编程猫少儿编程教师（Python,深圳点猫科技有限公司,8k-15k,经验不限,本科及以上,深圳 
python开发,达内时代科技集团有限公司,8k-13k,经验不限,本科及以上,北京 
课程设计（python）,深圳点猫科技有限公司,9k-15k,经验1年以下,本科及以上,深圳 
Python开发经理,上海树融数据科技有限公司,25k-30k,经验3-5年,本科及以上,上海 
Python爬虫工程师,易居企业（中国）集团有限公司,10k-20k,经验3-5年,本科及以上,上海 
Python爬虫工程师,易居企业（中国）集团有限公司,10k-20k,经验3-5年,本科及以上,上海 
python开发工程师,西安贝业思数据智能技术服务有限公司,8k-16k,经验3-5年,本科及以上,广州 
